old_filename,new_filename,product_id,source_name_ua,product_link
68.jpg,set-perolite-soap-eleclin-t-acne-cleansing-care.jpg,1484,Комплекс від акне Perolite Soap + Eleclin-T — очищення та активний догляд,http://kirkland.in.ua/kompleks-vid-akne-perolite-soap-eleclin-t
66.jpg,set-perolite-soap-eleneon-0-025-acne-mild-retinoid-care.jpg,1487,Комплекс від акне Perolite Soap + Eleneon 0.025% — очищення та м'який ретиноїдний догляд,http://kirkland.in.ua/kompleks-vid-akne-perolite-soap-eleneon
65.jpg,set-perolite-soap-eleneon-max-0-1-acne-retinoid-care.jpg,1485,Комплекс від акне Perolite Soap + Eleneon Max 0.1% — очищення та ретиноїдний догляд,
62.jpg,set-perolite-soap-eleneon-plus-0-05-acne-cleansing-retinoid-care.jpg,1500,Комплекс від акне Perolite Soap + Eleneon Plus 0.05% — очищення та ретиноїдний догляд,http://kirkland.in.ua/kompleks-vid-akne-perolite-soap-eleneon-plus
77.jpg,set-tarlic-max-cream-tarlic-soap-flaking-cleansing.jpg,1491,Комплекс Tarlic Max Cream + Tarlic Soap — очищення та локальний догляд при лущенні,http://kirkland.in.ua/kompleks-tarlic-max-cream-tarlic-soap
78.jpg,set-tarlic-shampoo-soap-max-cream-psoriasis-seborrhea-full-care.jpg,1490,Комплекс Tarlic Shampoo + Tarlic Soap + Tarlic Max Cream — повний догляд при псоріазі та с,http://kirkland.in.ua/povnyi-kompleks-tarlic-shampoo-soap-cream
79.jpg,set-tarlic-shampoo-tarlic-max-cream-scalp-flaking-2.jpg,1489,Комплекс Tarlic Shampoo + Tarlic Max Cream — догляд при лущенні шкіри голови та локальних,http://kirkland.in.ua/kompleks-tarlic-shampoo-tarlic-max-cream
64.jpg,set-tarlic-shampoo-tarlic-max-cream-scalp-flaking.jpg,1489,Комплекс Tarlic Shampoo + Tarlic Max Cream — догляд при лущенні шкіри голови та локальних,http://kirkland.in.ua/kompleks-tarlic-shampoo-tarlic-max-cream
63.jpg,set-tarlic-shampoo-tarlic-soap-scalp-body-flaking.jpg,1488,Комплекс Tarlic Shampoo + Tarlic Soap — догляд при лущенні шкіри голови й тіла,http://kirkland.in.ua/kompleks-tarlic-shampoo-tarlic-soap-lushchennia
28.jpg,silverdin-cream-silver-sulfadiazine-burns-40g.jpg,818,Сільвердін крем для шкіри Сульфадиазин срібла Silverdin cream 40 г,http://kirkland.in.ua/Silverdin-ua
f7c27fba-5053-4c8b-ab50-080fa726598a.png,skinmiso-repair-serum-face-30ml.png,965,Skinmiso відновлююча сироватка для обличчя 30 мл Корея,
1514-1000x1000.png,soapex-classic-galderma-antibacterial-soap-face-body-75g.png,1514,"Soapex Classic Galderma антибактеріальне мило для обличчя і тіла, 75 г",http://kirkland.in.ua/soapex-classic-galderma-soap-75g-ua
29.jpg,sofargen-cream-silver-sulfadiazine-burns-120g.jpg,562,Софарген (Sofargen) крем від опіків 120 г,
30.jpg,sofargen-cream-silver-sulfadiazine-micronized-burns-wounds-30g.jpg,466,Крем із сульфадіазином срібла Софарген Мікронізований Sofargen 30 г,
92.jpg,tarlic-max-cream-psoriasis-seborrheic-dermatitis-2.jpg,1106,Крем Тарлік Макс проти псориазу і себорейного дерматиту,http://kirkland.in.ua/tarlic-krem-ua
1106.png,tarlic-max-cream-psoriasis-seborrheic-dermatitis.png,1106,Крем Тарлік Макс проти псориазу і себорейного дерматиту,http://kirkland.in.ua/tarlic-krem-ua
87.jpg,tarlic-shampoo-coal-tar-scalp-flaking-2.jpg,1088,"Шампунь для догляду за шкірою голови, схильною до лущення з кам'яновугільною смолою Tarlic",http://kirkland.in.ua/tarlic-shamoo-ua
1088 (1).jpg,tarlic-shampoo-coal-tar-scalp-flaking.jpg,1088,"Шампунь для догляду за шкірою голови, схильною до лущення з кам'яновугільною смолою Tarlic",http://kirkland.in.ua/tarlic-shamoo-ua
86.jpg,tarlic-soap-psoriasis-seborrheic-dermatitis-75g-2.jpg,1105,Тарлік мило проти псоріазу та себорейного дерматиту 75г,http://kirkland.in.ua/tarlic-soap-ua
1105 (2).jpg,tarlic-soap-psoriasis-seborrheic-dermatitis-75g.jpg,1105,Тарлік мило проти псоріазу та себорейного дерматиту 75г,http://kirkland.in.ua/tarlic-soap-ua
1321_2.jpg,triakne-gel-benzoyl-peroxide-5-acne-50g-2.jpg,1321,Triakne 5% гель з бензоїл пероксидом 50 г Базірон,
1321.jpg,triakne-gel-benzoyl-peroxide-5-acne-50g.jpg,1321,Triakne 5% гель з бензоїл пероксидом 50 г Базірон,
91466526051668.webp,triluma-cream-hydroquinone-4-tretinoin-0-05-fluocinolone-0-01-melasma.webp,572,"Крем Triluma Трілума Гідрохінон 4%+Третиноїн 0,05%+флуоцинолону ацетонід 0,01%",http://kirkland.in.ua/triluma
98731941148887 (1).webp,trosyd-cream-1-fungal-infections-20g.webp,156,"Крем Tro-syd крем 1%, 20 г",http://kirkland.in.ua/trozid-krem-1-20g-trosyd
134.jpg,truest-s-free-acid-heat-care-hair-mask-damaged-hair.jpg,1418,Truest by S FREE Acid & Heat Care Hair Mask — відновлювальна маска для волосся (True Stron,http://kirkland.in.ua/truest-s-free-acid-heat-care-hair-mask
133.jpg,truest-s-free-acid-heat-care-hair-mask-premium-damaged-hair-180g.jpg,1419,Truest by S FREE Acid & Heat Care Hair Mask Premium 180 г — преміальна відновлювальна маск,http://kirkland.in.ua/truest-acid-heat-care-hair-mask-premium-180g
191.jpg,truest-s-free-acid-heat-care-hair-oil-damaged-hair-100ml-2.jpg,1420,Truest by S FREE Acid & Heat Care Hair Oil 100 мл — відновлювальна олія для волосся,http://kirkland.in.ua/truest-s-free-acid-heat-care-hair-oil-100ml
189.jpg,truest-s-free-acid-heat-care-hair-oil-damaged-hair-100ml.jpg,1420,Truest by S FREE Acid & Heat Care Hair Oil 100 мл — відновлювальна олія для волосся,http://kirkland.in.ua/truest-s-free-acid-heat-care-hair-oil-100ml
111.jpg,truest-s-free-acid-heat-care-shampoo-damaged-hair-2.jpg,1416,Truest by S FREE Acid & Heat Care Shampoo — відновлювальний шампунь для пошкодженого волос,http://kirkland.in.ua/truest-s-free-acid-heat-care-shampoo
11.png,truest-s-free-acid-heat-care-shampoo-damaged-hair.png,1416,Truest by S FREE Acid & Heat Care Shampoo — відновлювальний шампунь для пошкодженого волос,http://kirkland.in.ua/truest-s-free-acid-heat-care-shampoo
184.jpg,truest-s-free-acid-heat-care-shampoo-refill-damaged-hair-2.jpg,1421,Truest by S FREE Acid & Heat Care Shampoo Refill — відновлювальний шампунь (змінний пакет),http://kirkland.in.ua/truest-s-free-acid-heat-care-shampoo-refill
126.jpg,truest-s-free-acid-heat-care-shampoo-refill-damaged-hair.jpg,1421,Truest by S FREE Acid & Heat Care Shampoo Refill — відновлювальний шампунь (змінний пакет),http://kirkland.in.ua/truest-s-free-acid-heat-care-shampoo-refill
113.jpg,truest-s-free-acid-heat-care-treatment-damaged-hair-480ml-2.jpg,1417,Truest by S FREE Acid & Heat Care Treatment 480 мл — відновлювальний кондиціонер для волос,http://kirkland.in.ua/truest-s-free-acid-heat-care-treatment-480ml
112.jpg,truest-s-free-acid-heat-care-treatment-damaged-hair-480ml.jpg,1417,Truest by S FREE Acid & Heat Care Treatment 480 мл — відновлювальний кондиціонер для волос,http://kirkland.in.ua/truest-s-free-acid-heat-care-treatment-480ml
